datetime,prcp,Kejadian,Lokasi,Kabupaten,Penyebab,SMA10,EMA10
2021-02-08,23.1,TANAH LONGSOR,Kec. Babakan Madang Ds. Karang Tengah,BOGOR,Akibat hujan deras dengan durasi yang lama menyebabkan pergeseran tanah sepanjang 30 m dengan lebar retakan 1-10cm dan tebingan setinggi 2 m dan lebar 2 m mengalami longsor yang mengenai 3 rumah terdampak,25.7,25.1
2021-02-08,23.1,TANAH LONGSOR,Kec. Sukaraja Ds. Gunung Geulis,BOGOR,"• Akibat hujan deras yang cukup lama sehingga mengakibatkan tanah longsor setinggi 15m, lebar 7m dan membawa bagian teras dapur yang ada diatasnya",25.3,24.8
2021-02-08,23.1,TANAH LONGSOR,KEC CIGOMBONG,BOGOR,-,25.0,24.5
2021-02-08,23.1,TANAH LONGSOR,Kec. Tamansari Ds. Pasir Eurih,BOGOR,hujan dengan intensitas tinggi Yg cukup lama sehingga mengakibatkan tanah penahan tebing jalan Desa longsor,24.6,24.2
2021-02-08,23.1,TANAH LONGSOR,Kec. Citeureup Ds. Puspasari Dsn. Kebon Kopi Dsn. Karanggan,BOGOR,• Akibat tekstur tanah yang tidak stabil serta intensitas hujan yang cukup lama sehingga mengakibatkan longsor pada tebingan yang berada di belakang rumah tersebut,24.2,24.0
2021-02-08,23.1,TANAH LONGSOR,KEC TAJURHALANG,BOGOR,-,23.8,23.8
2021-02-08,23.1,TANAH LONGSOR,KEC SUKAMAKMUR,BOGOR,-,23.5,23.7
2021-02-09,13.4,TANAH LONGSOR,Kec. Ciomas Ds. Mekarjaya,BOGOR,• Akibat hujan dengan intensitas tinggi disertai kondisi tanah yang labil.,22.1,21.8
2021-02-09,13.4,TANAH LONGSOR,Kec.  Megamendung Ds. Cipayung,BOGOR,Akibat Hujan dengan intesitas tinggi,21.2,20.3
2021-02-10,15.3,TANAH LONGSOR,KEC CIGOMBONG,BOGOR,-,20.4,19.4
2021-02-11,10.1,TANAH LONGSOR,KEC MEGAMENDUNG KEC NANGGUNG KEC CIGOMBONG,BOGOR,-,19.1,17.7
2021-02-11,10.1,TANAH LONGSOR,Kec. Pamijahan Ds. Pasarean,BOGOR,• Hujan dengan intensitas lebat dan mengakibatkan tanah menjadi labil,17.8,16.3
2021-02-11,10.1,TANAH LONGSOR,Kec. Jasinga Ds. Jugalajaya,BOGOR,• Akibat hujan dengan intensitas tinggi disertai kondisi tanah yang labil,16.5,15.2
2021-02-12,8.4,TANAH LONGSOR,Kec.   Dramaga Ds.  Sinarsari,BOGOR,• Akibat hujan dengan intensitas tinggiv disertai struktur tanah yang labil,15.0,14.0
2021-02-13,4.6,-,-,-,-,13.2,12.3
2021-02-14,4.4,-,-,-,-,11.3,10.8
2021-02-15,5.3,TANAH LONGSOR,KEC SUKARAJA,BOGOR,-,9.5,9.8
2021-02-16,13.9,TANAH LONGSOR,Kec. Megamendung Ds. Pasir Angin,BOGOR,Akibat hujan deras yang cukup lama mengakibatkan tebingan tinggi 2m panjang 3m longsor menimpa 1 unit rumah,9.6,10.6
2021-02-17,7.0,-,-,-,-,8.9,9.9
2021-02-18,11.5,TANAH LONGSOR,KEC CIAMPEA,BOGOR,-,8.5,10.2
2021-02-19,26.6,TANAH LONGSOR,Kec. Cisarua Ds. Tugu Utara,BOGOR,• Akibat hujan dengan intensitas tinggi disertai kondisi tanah yang labil,10.2,13.2
2021-02-19,26.6,TANAH LONGSOR,KEC CIOMAS,BOGOR,-,11.8,15.6
2021-02-19,26.6,TANAH LONGSOR,KEC SUKARAJA,BOGOR,-,13.5,17.6
2021-02-20,31.8,TANAH LONGSOR,KEC CIAMPEA,BOGOR,-,15.8,20.2
2021-02-20,31.8,TANAH LONGSOR,Kec. Gunung Putri Ds. Bojong Kulur,BOGOR,• Akibat hujan deras dengan intensitas tinggi dan terus menerus sehingga terjadinya  longsor pada turap di daerah tersebut.,18.6,22.3
2021-02-20,31.8,TANAH LONGSOR,KEC GUNUNG PUTRI,BOGOR,-,21.3,24.0
2021-02-20,31.8,TANAH LONGSOR,KEC TENJOLAYA,BOGOR,-,23.9,25.4
2021-02-20,31.8,TANAH LONGSOR,KEC CIGUDEG,BOGOR,-,25.7,26.6
2021-02-20,31.8,TANAH LONGSOR,Kec. Ciawi Ds. Citapen,BOGOR,"• Akibat hujan deras yang cukup lama sehingga mengakibatkan TPT rumah milik Bpk. Mulyadi dengan ukuran T : 3m, P : 5m dan L : 50cm longsor dan menimpa rumah milik Bpk. Saeful Rizal.",28.2,27.5
2021-02-21,7.2,TANAH LONGSOR,Kec. Dramaga Ds. Babakan Kp. Babakan Doneng,BOGOR,• Akibat hujan deras mengakibatkan aliran air di sungai Cihideung meluap dan tergerus nya tembok penahan tanah sehingga terjadi longsor dengan P= 30m T= 8m,27.8,23.8
2021-02-21,7.2,TANAH LONGSOR,Kec. Cileungsi Ds. Cipeucang,BOGOR,"• Hujan dengan intensitas lebat yang mengakibatkan aliran irigasi Setu Tunggilis naik dan menyebabkab tebing dengan ketinggian 3.5 m dan lebar 6 m, mengalami longsor dan mengancam 2 unit bangunan diatasnya",25.8,20.8
2021-02-21,7.2,TANAH LONGSOR,KEC CISARUA,BOGOR,-,23.9,18.3
2021-02-21,7.2,TANAH LONGSOR,Kec. Jonggol Ds. Singa jaya,BOGOR,• Akibat Hujan Deras Mengakibatkan pergeseran Tanah yang berdampak pada 4 unit rumah milik warga,22.0,16.3
2021-02-21,7.2,TANAH LONGSOR,Kec. Caringin Ds. Caringin,BOGOR,• Hujan dengan intensitas lebat yang terus menerus dan mengkibatkan tanah menjadi labil dan terjadi longsor,19.5,14.7
2021-02-21,7.2,TANAH LONGSOR,KEC BABAKAN MADANG,BOGOR,-,17.0,13.3
2021-02-22,3.7,TANAH LONGSOR,Kec. Cijeruk Ds. Palasari,BOGOR,• Akibat hujan deras diwilayah tersebut mengakibatkan 1 unit rumah mengalami kerusakan (ambruk) pada bagian atap.,14.2,11.6
2021-02-22,3.7,TANAH LONGSOR,Kec. Cisarua Ds. Cibeureum,BOGOR,"• Disebabkan hujan dengan intensitas tinggi yang cukup lama disertai angin kencang sehingga mengakibatkan satu unit rumah roboh bagian dapur, kamar mandi dan atapnya mengalami Rusak Sedang dengan ukuran ± p.4.m x T.2.5.m",11.4,10.1
2021-02-22,3.7,TANAH LONGSOR,Kec. Cijeruk Ds. Warung menteng,BOGOR,• Akibat hujan dengan intensitas tinggi mengakibatkan Tembok Penahan Tanah (TPT) disamping rumah longsor dengan Panjang: 4 m dan Tinggi: 2 m sehingga dapur rumah ibu Erok Rokiah terbawa longsor,8.6,9.0
2021-02-23,1.1,TANAH LONGSOR,Kec. Ciampea Ds. Cinangka Kp. Kebon Teh,BOGOR,• Langkah yang Di Laksanakan Trc BPBD Kab Bogor - Koordinasi dengan aparat setempat - Melakukan Asessment,5.5,7.5
2021-02-23,1.1,TANAH LONGSOR,KEC CIJERUK,BOGOR,-,4.9,6.4
2021-02-24,10.4,TANAH LONGSOR,Kec. Tanah Sereal Kel. Cibadak,BOGOR,•Akibat hujan deras dan struktur tanah yang labil,5.2,7.1
2021-02-24,10.4,TANAH LONGSOR,KEC CIGOMBONG KEC BABAKAN MADANG,BOGOR,-,5.6,7.7
2021-02-24,10.4,TANAH LONGSOR,Kec. Jonggol Ds. Balekambang Kp. Malimping,BOGOR,• Akibat hujan dengan intensitas tinggi disertai struktur tanah yang labil sehingga terjadi pergerakan tanah sepanjang 70 meter dan lebar 20 meter,5.9,8.2
2021-02-25,21.2,TANAH LONGSOR,Kec. Ciampea  Ds. Bojong Rangkas,BOGOR,"• Akibat hujan deras mengakibatkan aliran air kali meluap dan menggerus tembok penahan tanah sehingga terjadi longsor dengan P= 7m T= 5m yang mengakibatkan 1 ruang kamar , dan kamar mandi terbawa longsor",7.3,10.6
2021-02-25,21.2,TANAH LONGSOR,KEC CARINGIN,BOGOR,-,8.7,12.5
2021-02-26,21.0,TANAH LONGSOR,KEC NANGGUNG,BOGOR,-,10.4,14.0
2021-02-27,30.3,TANAH LONGSOR,KEC CIGOMBONG,BOGOR,-,13.1,17.0
2021-02-27,30.3,TANAH LONGSOR,Kec. Ciawi Ds. Cileungsi,BOGOR,• Akibat hujan dengan intensitas tinggi disertai kondisi tanah yang labil,15.7,19.4
2021-02-28,2.2,-,-,-,-,15.8,16.3
2021-03-01,3.9,TANAH LONGSOR,Kec. Cibinong Desa Pakansari,BOGOR,• Akibat hujan dengan intensitas tinggi disertai angin kencang,16.1,14.0
2021-03-01,3.9,TANAH LONGSOR,KEC MEGAMENDUNG,BOGOR,-,15.5,12.2
2021-03-02,8.4,TANAH LONGSOR,Kec. Caringin Kel. Lemah Duhur,BOGOR,• Akibat hujan dengan intensitas tinggi dengan durasi yang cukup lama.,15.3,11.5
2021-03-03,3.7,TANAH LONGSOR,Kec. Babakan Madang Desa Cijayanti,BOGOR,• Hujan dengan intensitas lebat disertai angin kencang mengakibatkan beberapa unit rumah mengalami kerusakan pada bagian atap,14.6,10.1
2021-03-03,3.7,TANAH LONGSOR,Kec. Gunung Putri Desa Wanaherang,BOGOR,• Akibat hujan dengan intensitas tinggi dengan durasi yang cukup lama.,12.9,8.9
2021-03-04,5.2,TANAH LONGSOR,KEC CISARUA,BOGOR,-,11.3,8.2
2021-03-04,5.2,TANAH LONGSOR,KEC BABAKAN MADANG,BOGOR,-,9.7,7.7
2021-03-05,13.2,-,-,-,-,8.0,8.7
2021-03-06,4.7,TANAH LONGSOR,KEC SUKAMAKMUR,BOGOR,-,5.4,8.0
2021-03-06,4.7,TANAH LONGSOR,Kec. Tanjungsari Ds. Cibadak,BOGOR,Hujan dengan Intensitas tinggi mengakibatkan Debit Air Sungai Cikaret Meluap dan mengikis badan jalan Perbatasan Tanjungsari Cibadak,5.7,7.4
2021-03-07,3.8,-,-,-,-,5.6,6.7
2021-03-08,11.0,-,-,-,-,6.4,7.5
2021-03-09,2.9,-,-,-,-,5.8,6.7
2021-03-10,4.3,-,-,-,-,5.9,6.2
2021-03-11,5.9,TANAH LONGSOR,Kec. Bogor Ds. Semplak,BOGOR,• Tanah longsor terjadi akibat Tembok Penahan Tanah (TPT) yang tergerus aliran pembuangan air,6.1,6.2
2021-03-11,5.9,TANAH LONGSOR,Kec. Sukamakmur Ds. Sukamakmur,BOGOR,"• Akibat hujan dengan intensitas tinggi sehingga mengakibatkan longsor pada tebing penahan rumah, yang mengakibatkan 1 unit rumah mengalami kerusakan.",6.2,6.1
2021-03-12,11.7,-,-,-,-,6.8,7.1
2021-03-13,3.8,-,-,-,-,5.9,6.5
2021-03-14,11.5,-,-,-,-,6.6,7.4
2021-03-15,3.5,TANAH LONGSOR,Kec. Cigombong  Ds. Wates Jaya  Ds. Cisalada  Ds. Ciburayut,BOGOR,• Dikarenakan hujan dengan intensitas tinggi di wilayah tersebut mengakibatkan longsor dibeberapa titik,6.4,6.7
2021-03-15,3.5,TANAH LONGSOR,Kec. Caringin  Ds. Pasir Buncir,BOGOR,• Hujan dengan intensitas tinggi,6.4,6.1
2021-03-16,24.8,-,-,-,-,7.8,9.5
2021-03-17,18.1,-,-,-,-,9.3,11.1
2021-03-18,99.0,TANAH LONGSOR,KEC SUKARAJA,BOGOR,-,18.8,27.1
2021-03-19,10.9,-,-,-,-,19.3,24.1
2021-03-20,2.1,-,-,-,-,18.9,20.1
2021-03-21,4.4,-,-,-,-,18.2,17.3
2021-03-22,10.3,-,-,-,-,18.8,16.0
2021-03-23,2.3,-,-,-,-,17.9,13.5
2021-03-24,14.2,-,-,-,-,19.0,13.6
2021-03-25,29.1,TANAH LONGSOR,KEC CIJERUK,BOGOR,-,21.5,16.4
2021-03-26,1.8,-,-,-,-,19.2,13.8
2021-03-27,45.1,TANAH LONGSOR,Kec. Megamendung Ds. Sukakarya,BOGOR,hujan dengan intensitas tinggi,21.9,19.5
2021-03-28,15.0,TANAH LONGSOR,Kec. Tenjolaya Ds. Situ Daun,BOGOR,hujan dengan intensitas tinggi,13.5,18.7
2021-03-29,10.2,TANAH LONGSOR,Kec. Tanah Sereal Kel. Kedung Waringin,BOGOR,hujan dengan intensitas tinggi,13.4,17.1
2021-03-30,19.8,-,-,-,-,15.2,17.6
2021-03-31,61.8,TANAH LONGSOR,KEC CILEUNGSI,BOGOR,-,21.0,25.6
2021-04-01,42.7,-,-,-,-,24.2,28.7
2021-04-02,5.1,-,-,-,-,24.5,24.4
2021-04-03,59.4,TANAH LONGSOR,KEC CIGUDEG,BOGOR,-,29.0,30.8
2021-04-03,59.4,TANAH LONGSOR,KEC LEUWISADENG,BOGOR,-,32.0,36.0
2021-04-04,3.5,-,-,-,-,32.2,30.1
2021-04-05,2.0,-,-,-,-,27.9,25.0
2021-04-06,10.6,-,-,-,-,27.4,22.4
2021-04-07,8.5,-,-,-,-,27.3,19.8
2021-04-08,4.1,-,-,-,-,25.7,17.0
2021-04-09,3.7,TANAH LONGSOR,KEC TAMANSARI,BOGOR,-,19.9,14.6
2021-04-10,2.7,-,-,-,-,15.9,12.4
2021-04-11,79.0,TANAH LONGSOR,Kec. Cisarua Ds. Citeko,BOGOR,• Akibat hujan deras sehingga mengakibatkan TPT (tembok penahan tanah) Vila Nova longsor menimpah beberapa rumah warga,23.3,24.5
2021-04-11,79.0,TANAH LONGSOR,Kec. Megamendung Ds. Sukagalih,BOGOR,• Akibat hujan deras yang  mengakibatkan tembok penahan tanah (TPT) jebol/longsor dan menimpa 2 unit rumah,25.2,34.4
2021-04-12,9.7,-,-,-,-,20.3,29.9
2021-04-13,8.1,-,-,-,-,20.7,26.0
2021-04-14,36.1,-,-,-,-,24.2,27.8
2021-04-15,33.8,-,-,-,-,26.5,28.9
2021-04-16,10.0,-,-,-,-,26.6,25.5
2021-04-17,9.3,TANAH LONGSOR,Kec. Bojonggede Kel. Pabuaran,BOGOR,•Akibat hujan dengan intensitas tinggi sehingga mengakibatkan 1 unit rumah mengalami kerusakan.,27.1,22.5
2021-04-18,17.8,-,-,-,-,28.6,21.7
2021-04-19,27.7,TANAH LONGSOR,Kec. Citeureup Ds. Hambalang,BOGOR,• Akibat hujan deras yang disertai angin kencang sehingga mengakibatkan tebing tanah yang berada di belakang rumah longsor dan menimpa 1 rumah.,31.0,22.8
2021-04-20,3.7,-,-,-,-,23.5,19.3
2021-04-21,3.8,TANAH LONGSOR,KEC MEGAMENDUNG,BOGOR,-,16.0,16.5
2021-04-22,3.0,TANAH LONGSOR,KEC JASINGA,BOGOR,-,15.3,14.0
2021-04-22,3.0,TANAH LONGSOR,KEC JASINGA,BOGOR,-,14.8,12.0
2021-04-23,1.4,-,-,-,-,11.4,10.1
2021-04-24,3.0,-,-,-,-,8.3,8.8
2021-04-25,5.1,-,-,-,-,7.8,8.1
2021-04-26,4.7,-,-,-,-,7.3,7.5
2021-04-27,7.3,TANAH LONGSOR,KEC SUKAJAYA,BOGOR,-,6.3,7.5
2021-04-27,7.3,TANAH LONGSOR,KEC CIGOMBONG,BOGOR,-,4.2,7.4
2021-04-27,7.3,TANAH LONGSOR,Kec. Leuwisadeng Ds. Wangun jaya,BOGOR,hujan dengan intensitas cukup tinggi,4.6,7.4
2021-04-27,7.3,TANAH LONGSOR,Kec. Cigombong Ds. Ciadeg,BOGOR,• Akibat hujan dengan intensitas tinggi disertai angin kencang,4.9,7.4
2021-04-28,27.3,TANAH LONGSOR,KEC CIGOMBONG,BOGOR,-,7.4,11.0
2021-04-28,27.3,TANAH LONGSOR,KEC DRAMAGA KEC CIAWI,BOGOR,-,9.8,14.0
2021-04-28,27.3,TANAH LONGSOR,Kec. Cijeruk Ds. Tanjung Sari,BOGOR,hujan dengan intensitas cukup tinggi disertai angin kencang,12.4,16.4
2021-04-28,27.3,TANAH LONGSOR,Kec. Caringin Ds. Pancawati,BOGOR,hujan dengan intensitas cukup tinggi,14.8,18.4
2021-04-28,27.3,TANAH LONGSOR,Kec. Ciawi Ds. cilengsi,BOGOR,hujan dengan intensitas cukup tinggi,17.0,20.0
2021-04-28,27.3,TANAH LONGSOR,KEC CIGOMBONG,BOGOR,-,19.3,21.3
2021-04-29,5.3,-,-,-,-,19.1,18.4
2021-04-30,5.2,-,-,-,-,18.9,16.0
2021-05-01,2.0,-,-,-,-,18.4,13.5
2021-05-02,4.0,-,-,-,-,18.0,11.7
2021-05-03,3.0,-,-,-,-,15.6,10.2
2021-05-04,8.5,-,-,-,-,13.7,9.9
2021-05-05,15.2,-,-,-,-,12.5,10.8
2021-05-06,42.8,TANAH LONGSOR,Kec. Cibinong Ds. Nangewer,BOGOR,"Akibat hujan dengan intensitas tinggi disertai kondisi tanah yang labil yang terjadi pada Kamis, 06 Mei 2021 Pkl. 18:05 WIB",14.1,16.6
2021-05-07,7.1,TANAH LONGSOR,KEC CIBINONG,BOGOR,-,12.0,14.9
2021-05-07,7.1,TANAH LONGSOR,KEC TAMANSARI,BOGOR,-,10.0,13.5
2021-05-07,7.1,TANAH LONGSOR,KEC CIBINONG,BOGOR,-,10.2,12.3
2021-05-07,7.1,TANAH LONGSOR,KEC RUMPIN,BOGOR,-,10.4,11.4
2021-05-07,7.1,TANAH LONGSOR,Kec. Sukaraja Ds. Cimandala Kamp. Ciparengga Kamp. Kebun Kelapa Kamp. Dharmais Kamp. Poncol Kamp. Pabuaran,BOGOR,•Akibat hujan dengan intensitas tinggi dengan durasi waktu yang lama disertai meluapnya aliran anak kali Ciluar maupun drainase yang kurang baik,10.9,10.6
2021-05-08,11.1,TANAH LONGSOR,KEC SUKARAJA,BOGOR,-,11.6,10.7
2021-05-08,11.1,TANAH LONGSOR,KEC DRAMAGA,BOGOR,-,12.4,10.8
2021-05-08,11.1,TANAH LONGSOR,KEC KLAPANUNGGAL,BOGOR,-,12.7,10.8
2021-05-08,11.1,TANAH LONGSOR,KEC CIGUDEG,BOGOR,-,12.3,10.9
2021-05-08,11.1,TANAH LONGSOR,Kec.  Cibinong Kel.  Sukahati,BOGOR,Hujan dengan intensitas tinggi,9.1,10.9
2021-05-08,11.1,TANAH LONGSOR,KEC TAMANSARI,BOGOR,-,9.5,10.9
2021-05-08,11.1,TANAH LONGSOR,KEC DRAMAGA,BOGOR,-,9.9,11.0
2021-05-09,57.5,TANAH LONGSOR,KEC CIAMPEA,BOGOR,-,14.9,19.4
2021-05-09,57.5,TANAH LONGSOR,Kec.  Tenjolaya Ds. Gunung Malang,BOGOR,"• Akibat hujan deras yang berangsur lama menyebabkan TPT longsor dengan tinggi 6 meter, panjang 12 meter",20.0,26.4
2021-05-09,57.5,TANAH LONGSOR,KEC LEUWILIANG,BOGOR,-,25.0,32.0
2021-05-09,57.5,TANAH LONGSOR,KEC LEUWILIANG,BOGOR,-,29.7,36.7
2021-05-10,7.2,TANAH LONGSOR,KEC DRAMAGA,BOGOR,-,29.3,31.3
2021-05-10,7.2,TANAH LONGSOR,KEC CIJERUK,BOGOR,-,28.9,26.9
2021-05-10,7.2,TANAH LONGSOR,KEC CIAMPEA,BOGOR,-,28.5,23.3
2021-05-10,7.2,TANAH LONGSOR,KEC BABAKAN MADANG,BOGOR,-,28.1,20.4
2021-05-11,5.9,TANAH LONGSOR,Kec. Lewiliang Ds. Puraseda Kamp. Citugu Beli Kamp. Cikoneng Kamp. Tambakan,BOGOR,•Akibat hujan disertai struktur tanah yang labil,27.6,17.8
2021-05-12,6.0,-,-,-,-,27.1,15.6
2021-05-13,3.6,-,-,-,-,21.7,13.4
2021-05-14,5.3,-,-,-,-,16.5,12.0
